Organizations,Description,Vote,$ Available 2009-10,$ Spent 2009-10,$ Available 2010-11,$ Spent 2010-11,$ Available 2011-12,$ Spent 2011-12
Agriculture and Agri-Food,Contributions in support of Business Risk Management Programs under the Agricultural Policy Framework - Province-Based Programs,(S),"-346,409","-346,409",,,"-531,392","-531,392"
Agriculture and Agri-Food,Contributions in support of the Assistance to the Pork Industry Initiative,(S),"285,811,910","285,811,910","35,961,951","35,961,951",,
Agriculture and Agri-Food,Contributions in support of the Canadian Agriculture Income Stabilization (CAIS) Inventory Transition Initiative,(S), ,,"-169,672","-169,672","-202,916","-202,916"
Agriculture and Agri-Food,Contributions in support of the Farm Income Payment,(S),,,"-11,332","-11,332","-50,382","-50,382"
Agriculture and Agri-Food,Contributions to a Transition to Future Risk Management Programming,(S),,,"-12,630","-12,630","-44,664","-44,664"
Agriculture and Agri-Food,Contributions to employee benefit plans,(S),"82,475,926","82,475,926","81,829,460","81,829,460","80,766,056","80,766,056"
Agriculture and Agri-Food,Crop Insurance Programs,(S),,,,,"-35,769","-35,769"
Agriculture and Agri-Food,Expenditures pursuant to Section 29 of the Financial Administration Act for Payments pursuant to Guaranties under the Spring Credit Advance Program,(S),"-2,094,826","-2,094,826","-1,060,707","-1,060,707","-6,139,593","-6,139,593"
Agriculture and Agri-Food,Grant and Contribution Payments for the AgriStability Program,(S),"524,703,536","524,703,536","371,542,680","371,542,680","289,338,103","289,338,103"
Agriculture and Agri-Food,Grant Payments for the Grain and Oilseed Payment Program,(S),"-263,742","-263,742","-129,908","-129,908","-33,725","-33,725"
Agriculture and Agri-Food,Grants and Contribution payments for the AgriInvest Program,(S),"140,279,526","140,279,526","196,642,294","196,642,294","248,429,161","248,429,161"
Agriculture and Agri-Food,Grants and contributions for the AgriInvest Kickstart Program,(S),"-12,516,727","-12,516,727","-2,819,404","-2,819,404","-537,408","-537,408"
Agriculture and Agri-Food,Grants and Contributions in support of the Cost of Production Benefit,(S),"-1,324,896","-1,324,896","-187,601","-187,601","-5,784","-5,784"
Agriculture and Agri-Food,Grants for the Transitional Industry Support Program,(S),"-42,326","-42,326","-31,441","-31,441","-63,445","-63,445"
Agriculture and Agri-Food,Grants in support of the Canadian Agriculture Income Stabilization (CAIS) Inventory Transition Initiative,(S),"-80,392","-80,392","-1,520,071","-1,520,071","-1,732,956","-1,732,956"
Agriculture and Agri-Food,Grants in support of the Cull Breeding Swine Program,(S),"-17,900,000","-17,900,000",,,,
Agriculture and Agri-Food,Grants in support of the Farm Income Payment,(S),"-19,341","-19,341","-22,178","-22,178","-80,733","-80,733"
Agriculture and Agri-Food,"Grants to agencies established under the Farm Products Agencies Act (R.S.C., 1985, c. ;F-4)",(S),"600,000",0,"600,000",0,"600,000",0
Agriculture and Agri-Food,Loan guarantees under the Canadian Agricultural Loans Act,(S),"2,032,185","2,032,185","232,470","232,470","141,041","141,041"
Agriculture and Agri-Food,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Agriculture and Agri-Food,Net Income Stabilization Account,(S),,,,,"-100,533","-100,533"
Agriculture and Agri-Food,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",(S),"28,545,776","28,545,776","33,997,707","33,997,707","44,949,155","44,949,155"
Agriculture and Agri-Food,Refunds of Previous Years Revenue,(S),"8,214","8,214","4,879","4,879","8,359","8,359"
Agriculture and Agri-Food,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"4,203,456","3,596,253","4,870,099","3,948,399","5,621,093","3,443,918"
Assisted Human Reproduction Agency of Canada,Program expenditures,15,"10,015,117","4,800,840","10,438,838","4,764,036","10,422,425","3,212,347"
Assisted Human Reproduction Agency of Canada,Contributions to employee benefit plans,(S),"390,644","390,644","411,751","411,751","251,491","251,491"
Atlantic Canada Opportunities Agency,Operating expenditures,1,"93,725,161","85,687,726","90,084,009","84,601,364","88,981,325","83,574,012"
Atlantic Canada Opportunities Agency,Grants and contributions,5,"262,808,368","262,808,180","312,141,405","308,763,060","243,470,120","236,470,120"
Atlantic Canada Opportunities Agency,"Pursuant to subsection 25(2) of the Financial Administration Act, to write off from the Accounts of Canada $456,680 in principal and $279,053 in interest for loans made to industry by the Newfoundland and Labrador Development Corporation—Transfer of $456,680 from Atlantic Canada Opportunities Agency Vote 1, and $279,053 from Atlantic Canada Opportunities Agency Vote 5 Transfer from: Vote 1 Vote 5",7,"735,734","735,733",,,,
Atlantic Canada Opportunities Agency,Contributions to employee benefit plans,(S),"10,519,881","10,519,881","10,009,125","10,009,125","10,339,813","10,339,813"
Atlantic Canada Opportunities Agency,Minister's Salary and Motor Car Allowance ,(S),,,,,"1,500","1,500"
Atlantic Canada Opportunities Agency,Refunds of Previous Years Revenue,(S),"4,988","4,988",,,"54,185","54,185"
Atlantic Canada Opportunities Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"26,545","19,818","24,844","22,505","37,830","14,151"
Atlantic Canada Opportunities Agency,Transfer Payments in Connection with the Budget Implementation Act,(S),"44,067,097","44,067,097","5,062,903","5,062,903",,
Atomic Energy of Canada Limited,Operating and Capital expenditures,15,"841,691,000","841,691,000","771,452,000","771,452,000","617,143,001","537,031,083"
Atomic Energy of Canada Limited,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited",(S),,,,,"182,000,000","182,000,000"
Auditor General,Program expenditures,20,"81,644,126","77,283,499","78,780,804","76,588,907","84,590,315","79,266,383"
Auditor General,Contributions to employee benefit plans,(S),"10,523,811","10,523,811","10,076,695","10,076,695","10,543,651","10,543,651"
Auditor General,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),308,308,"1,071","1,071","1,886","1,886"
Canada Border Services Agency,Operating expenditures,10,"1,538,564,451","1,426,053,519","1,515,563,535","1,453,495,095","1,677,761,089","1,521,118,147"
Canada Border Services Agency,Capital expenditures,15,"116,639,089","32,657,101","181,238,519","59,772,455","239,192,416","122,748,593"
Canada Border Services Agency,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),481,481,190,190,,
Canada Border Services Agency,Contributions to employee benefit plans,(S),"182,101,673","182,101,673","181,999,068","181,999,068","191,151,942","191,151,942"
Canada Border Services Agency,Refunds of Previous Years Revenue,(S),"59,145","59,145","33,711","33,711","91,544","91,544"
Canada Border Services Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"340,521","172,293","393,008","251,599","354,586","186,724"
Canada Council for the Arts,Payments to the Canada Council for the Arts,10,"183,115,893","183,115,891","181,823,785","181,637,816","181,917,817","181,417,816"
Canada Industrial Relations Board,Program expenditures,10,"12,151,493","11,712,361","12,110,977","11,711,580","13,053,388","12,212,298"
Canada Industrial Relations Board,Contributions to employee benefit plans,(S),"1,613,871","1,613,871","1,575,819","1,575,819","1,486,626","1,486,626"
Canada Industrial Relations Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),865,0,891,0,919,0
Canada Mortgage and Housing Corporation,"To reimburse Canada Mortgage and Housing Corporation for the amounts of loans forgiven, grants, contributions and expenditures made, and losses, costs and expenses incurred under the provisions of the National Housing Act or in respect of the exercise of powers or the carrying out of duties or functions conferred on the Corporation pursuant to the authority of any Act of Parliament of Canada other than the National Housing Act, in accordance with the Corporation's authority under the Canada Mortgage and Housing Corporation Act",15,"2,329,009,000","2,217,458,762","2,993,841,000","2,825,040,810","2,161,923,000","2,048,052,949"
Canada Mortgage and Housing Corporation,Housing for Low-Income Seniors,(S),"200,000,000","200,000,000",,,,
Canada Mortgage and Housing Corporation,Renovation and Retrofit of Social Housing,(S),"424,999,873","424,999,873","75,000,000","75,000,000",,
Canada Mortgage and Housing Corporation,Transfer Payments in Connection with the Budget Implementation Act,(S),"185,697,390","185,697,390","63,395,174","63,395,174","205,640","205,640"
Canada Post Corporation,Payments to the Canada Post Corporation for special purposes,15,"72,862,000","72,862,000","22,210,000","22,210,000","22,210,000","22,210,000"
Canada Post Corporation,"In accordance with section 28 of the Canada Post Corporation Act and section 101 and subsection 127(3) of the Financial Administration Act, to authorize the Canada Post Corporation to borrow otherwise than from the Crown not exceeding from time to time an aggregate outstanding amount of $2,500,000,000 in accordance with terms and conditions approved by the Minister of Finance",17,1,0,,,,
Canada Post Corporation,"In accordance with section 28 of the Canada Post Corporation Act and section 101 and subsection127(3) of the Financial Administration Act, to authorize the Canada Post Corporation to borrow otherwise than from the Crown not exceeding from time to time an aggregate outstanding amount of $2,500,000,000 in accordance with terms and conditions approved by the Minister of Finance",20, ,,1,0,,
Canada Revenue Agency,"Operating expenditures, contributions and recoverable expenditures on behalf of the Canada Pension Plan and the Employment Insurance Act",1,"3,477,046,073","3,297,433,933","3,297,039,933","3,170,640,318","3,388,883,997","3,158,001,277"
Canada Revenue Agency,Capital expenditures and recoverable expenditures on behalf of the Canada Pension Plan and the Employment Insurance Act,5, ,,"141,243,044","89,495,745","79,656,435","51,689,472"
Canada Revenue Agency,Children's Special Allowance payments,(S),"215,264,294","215,264,294","222,437,960","222,437,960","223,545,787","223,545,787"
Canada Revenue Agency,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"3,286,468","3,286,468","2,400","2,400","3,509","3,509"
Canada Revenue Agency,Contributions to employee benefit plans,(S),"469,400,538","469,400,538","466,011,571","466,011,571","456,860,340","456,860,340"
Canada Revenue Agency,Court Awards - Tax Court of Canada,(S),"1,496,400","1,496,400","3,839,962","3,839,962","1,366,693","1,366,693"
Canada Revenue Agency,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",(S),"205,545,368","205,545,368","220,735,324","220,735,324","213,871,447","213,871,447"
Canada Revenue Agency,Energy Cost Benefit,(S),"12,746","12,746","4,746","4,746","1,496","1,496"
Canada Revenue Agency,Losses on Foreign Exchange,(S),,,,,"249,190","249,190"
Canada Revenue Agency,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Canada Revenue Agency,Refunds of Previous Years Revenue,(S),,,"6,772","6,772",,
Canada Revenue Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"110,854","110,854","195,666","195,666","165,406","165,406"
Canada Revenue Agency,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,(S),"213,920,100","213,920,100","245,117,903","245,117,903","245,459,473","245,459,473"
Canada School of Public Service,Program expenditures,40,"65,231,597","58,016,731","58,408,413","51,581,225","56,799,797","50,373,377"
Canada School of Public Service,Contributions to employee benefit plans,(S),"12,237,776","12,237,776","11,964,438","11,964,438","11,788,861","11,788,861"
Canada School of Public Service,Refunds of Previous Years Revenue,(S),,,,,"525,616","525,616"
Canada School of Public Service,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"2,466","2,466","11,303","1,106","11,497","1,300"
Canada School of Public Service,Spending of revenues pursuant to Section 18(2)of the Canada School of Public Service Act,(S),"79,480,570","68,013,165","82,972,623","65,087,492","91,004,028","63,251,672"
Canadian Air Transport Security Authority,Payments to the Canadian Air Transport Security Authority for operating and capital expenditures,20,"625,143,000","603,941,000","595,055,399","573,146,000","582,727,000","515,006,000"
Canadian Artists and Producers Professional Relations Tribunal,Program expenditures,20,"1,976,990","990,892","1,988,701","1,078,919","2,023,420","1,150,256"
Canadian Artists and Producers Professional Relations Tribunal,Contributions to employee benefit plans,(S),"124,216","124,216","121,208","121,208","132,936","132,936"
Canadian Broadcasting Corporation,Payments to the Canadian Broadcasting Corporation for operating expenditures,15,"1,017,587,060","1,017,587,060","1,031,581,060","1,031,581,060","1,028,047,060","1,028,047,060"
Canadian Broadcasting Corporation,Payments to the Canadian Broadcasting Corporation for working capital,20,"4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
Canadian Broadcasting Corporation,Payments to the Canadian Broadcasting Corporation for capital expenditures,25,"117,929,001","117,929,000","101,564,000","101,564,000","102,272,000","102,272,000"
Canadian Broadcasting Corporation,"Pursuant to subsection 46.1(3)(b) of the Broadcasting Act, to authorize a total indebtedness in respect of borrowings under subsections 46.1(1) and 46.1(2) of the under subsections 46.1(1) and 46.1(2) of the Act of an amount not to exceed $220,000,000",27,1,0,,,,
Canadian Broadcasting Corporation,"Pursuant to subsection 46.1(3)(b) of the Broadcasting Act, to authorize a total indebtedness in respect of borrowings under subsections 46.1(1) and 46.1(2) of the Act of an amount not to exceed $220,000,000",30, ,,1,0,,
Canadian Centre for Occupational Health and Safety,Program expenditures,25,"4,462,296","4,129,395","4,501,211","4,323,009","5,203,781","4,166,331"
Canadian Centre for Occupational Health and Safety,Contributions to employee benefit plans,(S),"1,116,586","1,116,586","1,114,798","1,114,798","1,123,993","1,123,993"
Canadian Commercial Corporation,Payments to the Canadian Commercial Corporation,20,"15,745,091","15,745,091","15,549,962","15,481,541","15,481,540","15,481,540"
Canadian Dairy Commission,Program expenditures,25,"4,014,358","4,012,897","4,147,084","4,147,084","4,479,524","4,479,524"
Canadian Environmental Assessment Agency,Program expenditures,15,"32,369,451","26,948,874","29,566,260","26,140,611","31,959,563","26,426,963"
Canadian Environmental Assessment Agency,Contributions to employee benefit plans,(S),"3,410,750","3,410,750","2,893,518","2,893,518","3,131,526","3,131,526"
Canadian Environmental Assessment Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"1,254",0,"1,737",0,963,0
Canadian Food Inspection Agency,Operating expenditures and contributions,20,"618,769,942","591,515,374","617,776,573","592,714,877","617,230,647","579,207,923"
Canadian Food Inspection Agency,Capital expenditures,25,"39,725,379","34,977,586","44,971,182","41,200,610","29,208,522","13,755,212"
Canadian Food Inspection Agency,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"1,132","1,132","1,119","1,119","2,382","2,382"
Canadian Food Inspection Agency,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act (S.C., 1997, c. 6)",(S),"7,273,971","7,273,971","3,589,787","3,589,787","4,223,367","4,223,367"
Canadian Food Inspection Agency,Contributions to employee benefit plans,(S),"84,193,353","84,193,353","83,570,805","83,570,805","84,443,586","84,443,586"
Canadian Food Inspection Agency,Refunds of Previous Years Revenue,(S),621,621,602,602,,
Canadian Food Inspection Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"664,939","149,772","857,595","712,821","461,653","212,539"
Canadian Food Inspection Agency,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,(S), ,,,,"58,834,871","55,851,349"
Canadian Forces Grievance Board,Program expenditures,15,"6,606,337","5,094,518","6,482,262","4,954,831","6,840,189","5,727,601"
Canadian Forces Grievance Board,Contributions to employee benefit plans,(S),"570,436","570,436","570,814","570,814","669,410","669,409"
Canadian Forces Grievance Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),541,0,756,756,,
Canadian Grain Commission,Program expenditures,30,"40,289,418","39,941,618","31,331,251","31,183,896","35,237,639","35,237,639"
Canadian Grain Commission,Canadian Grain Commission Revolving Fund,(S),"34,168,371","-5,946,213","40,114,584","1,507,841","38,606,742","-1,098,073"
Canadian Grain Commission,Contributions to employee benefit plans,(S),"560,831","560,831","587,337","587,337","622,222","622,222"
Canadian Grain Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"245,626","245,626","46,560","46,560","58,224","58,224"
Canadian Heritage,Operating expenditures,1,"304,128,294","278,227,785","236,521,048","220,995,426","223,279,931","205,669,690"
Canadian Heritage,Grants and contributions,5,"1,180,100,786","1,164,187,478","1,071,950,696","1,062,798,460","1,089,045,219","1,071,847,979"
Canadian Heritage,Contributions to employee benefit plans,(S),"29,689,702","29,689,702","27,380,763","27,380,763","25,811,435","25,811,435"
Canadian Heritage,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","78,876","78,876","79,551","79,551"
Canadian Heritage,Other Statutory Salaries and Allowances,(S),"1,209,769","1,209,769","1,246,635","1,246,635","1,262,408","1,262,408"
Canadian Heritage,"Payments under the Lieutenant-Governors Superannuation Act (R.S.C., 1985, c. L-8)",(S),"872,783","872,783","905,145","905,145","879,770","879,770"
Canadian Heritage,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"149,820","142,999","2,470,806","6,371","2,749,435","2,737,806"
Canadian Heritage,Supplementary Retirement Benefits – Former Lieutenant-Governors,(S),"225,093","225,093","220,177","220,177","203,264","203,264"
Canadian Human Rights Commission,Program expenditures,10,"20,989,179","19,944,884","21,496,477","20,339,731","22,895,397","21,457,760"
Canadian Human Rights Commission,Contributions to employee benefit plans,(S),"2,684,144","2,684,144","2,727,661","2,727,661","2,804,563","2,804,563"
Canadian Human Rights Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S), ,,38,38,,
Canadian Human Rights Tribunal,Program expenditures,15,"4,500,721","3,937,426","4,452,615","4,111,969","5,237,948","4,901,909"
Canadian Human Rights Tribunal,Contributions to employee benefit plans,(S),"377,254","377,254","324,558","324,558","337,885","337,885"
Canadian Human Rights Tribunal,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),0,0,,,,
Canadian Institutes of Health Research,Operating expenditures,20,"52,698,119","48,843,585","54,255,279","53,589,168","55,908,451","51,699,069"
Canadian Institutes of Health Research,Grants,25,"929,326,812","929,144,803","969,214,918","966,828,661","952,647,336","950,729,984"
Canadian Institutes of Health Research,Contributions to employee benefit plans,(S),"5,744,678","5,744,678","6,453,447","6,453,447","6,662,339","6,662,339"
Canadian Institutes of Health Research,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),22,0,"10,692",0,"10,692",0
Canadian Intergovernmental Conference Secretariat,Program expenditures,5,"6,486,083","4,737,988","6,511,863","4,843,648","6,639,760","5,227,416"
Canadian Intergovernmental Conference Secretariat,Contributions to employee benefit plans,(S),"404,041","404,041","419,661","419,661","333,196","333,196"
Canadian Intergovernmental Conference Secretariat,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),,,143,0,143,0
Canadian International Development Agency,Operating expenditures,25,"230,887,468","220,709,809","222,173,935","217,227,267","219,963,373","211,491,438"
Canadian International Development Agency,Grants and contributions,30,"3,065,330,601","3,059,366,945","3,045,536,719","3,043,827,527","3,319,155,947","3,278,588,220"
Canadian International Development Agency,"Pursuant to section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan  ",32,"449,533,044","16,147,699",,,,
Canadian International Development Agency,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),,,"1,691","1,691",258,258
Canadian International Development Agency,Contributions to employee benefit plans,(S),"27,546,453","27,546,453","27,365,616","27,365,616","26,955,888","26,955,888"
Canadian International Development Agency,Encashment of notes issued to the development assistance funds of the international financial institutions in accordance with the International Development (Financial Institutions) Assistance Act,(S),"268,097,439","268,097,439","249,133,809","249,133,809","285,582,426","285,582,426"
Canadian International Development Agency,Losses on Foreign Exchange,(S),"170,184,940","170,184,940","32,026,657","32,026,657","20,088,735","20,088,735"
Canadian International Development Agency,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Canadian International Development Agency,Payments for Foreign Aid,(S),,,"20,258,857","20,258,857","22,926,021","22,926,021"
Canadian International Development Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"3,768","3,768","6,097","6,097","6,874","6,874"
Canadian International Development Agency,To forgive a debt due by the Government of the Islamic Republic of Pakistan ,(S),,,"433,385,345","48,790,835","384,594,510","81,546,151"
Canadian International Trade Tribunal,Program expenditures,25,"9,968,923","9,644,951","10,899,767","9,611,620","11,372,978","9,328,928"
Canadian International Trade Tribunal,Contributions to employee benefit plans,(S),"1,307,442","1,307,442","1,310,606","1,310,606","1,199,978","1,199,978"
Canadian International Trade Tribunal,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),660,0,748,0,334,0
Canadian Museum for Human Rights,Payments to the Canadian Museum for Human Rights for operating and capital expenditures,30,"26,700,000","26,700,000","56,072,657","56,072,657","31,798,633","21,798,633"
Canadian Museum of Civilization,Payments to the Canadian Museum of Civilization for operating and capital expenditures,35,"66,355,097","66,355,096","71,218,048","71,218,048","65,198,130","65,198,130"
Canadian Museum of Immigration at Pier 21,Payments to the Canadian Museum of Immigration at Pier 21 for operating and capital expenditures,37, ,,,,"9,974,440","9,974,440"
Canadian Museum of Immigration at Pier 21,Payment to the Canadian Museum of Immigration at Pier 21,(S),,,"4,576,085","4,576,085","3,850,160","3,850,160"
Canadian Museum of Nature,Payments to the Canadian Museum of Nature for operating and capital expenditures,40,"33,436,286","33,436,286","33,281,985","33,281,985","28,591,766","28,591,766"
Canadian Northern Economic Development Agency,Operating expenditures,37,"12,994,713","7,061,796","18,145,503","16,973,449","17,237,930","15,399,923"
Canadian Northern Economic Development Agency,Contributions,39,"20,029,521","17,864,003","48,031,951","44,217,850","32,754,757","31,992,730"
Canadian Northern Economic Development Agency,Contributions to employee benefit plans,(S),"739,818","739,818",,,,
Canadian Northern Economic Development Agency,Contributions to employee benefit plans,(S),,,"1,583,486","1,583,486","1,207,038","1,207,038"
Canadian Northern Economic Development Agency,Transfer Payments in Connection with the Budget Implementation Act,(S),"13,963,580","13,963,580","1,485,768","1,485,768",,
Canadian Nuclear Safety Commission,Program expenditures,20,"51,111,016","46,282,301","44,755,466","43,485,173","43,431,269","39,864,044"
Canadian Nuclear Safety Commission,Contributions to employee benefit plans,(S),"13,977,596","13,977,596","14,110,389","14,110,389","14,459,933","14,459,933"
Canadian Nuclear Safety Commission,Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act,(S),"79,766,834","78,092,168","80,760,424","78,643,028","84,003,440","81,733,689"
Canadian Nuclear Safety Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S), ,,"11,498",0,"24,002","11,498"
Canadian Polar Commission,Program expenditures,35,"981,942","890,516","984,294","946,503","1,191,634","1,141,951"
Canadian Polar Commission,Contributions to employee benefit plans,(S),"65,172","65,172","70,143","70,143","121,259","121,259"
Canadian Radio-television and Telecommunications Commission,Program expenditures,45,"7,933,889","6,061,606","7,562,128","5,355,601","18,803,355","9,245,829"
Canadian Radio-television and Telecommunications Commission,Contributions to employee benefit plans,(S),"6,372,430","6,372,430","6,165,467","6,165,467","6,436,734","6,436,734"
Canadian Radio-television and Telecommunications Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),150,150,375,375,"3,822",387
Canadian Security Intelligence Service,Program expenditures,20,"442,748,425","425,259,211","456,554,255","441,556,427","523,634,140","491,177,125"
Canadian Security Intelligence Service,Capital expenditures,25,"44,421,001","44,420,602","31,610,000","29,902,873",,
Canadian Security Intelligence Service,Contributions to employee benefit plans,(S),"41,745,174","41,745,174","43,323,489","43,323,489","48,450,953","48,450,953"
Canadian Security Intelligence Service,Refunds of Previous Years Revenue,(S),"4,559","4,559","2,308","2,308",,
Canadian Security Intelligence Service,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"1,952,152","1,660,372","651,824","438,199","529,542","257,619"
Canadian Space Agency,Operating expenditures,25,"236,634,439","217,973,366","263,367,726","243,787,613","253,795,707","247,901,692"
Canadian Space Agency,Capital expenditures,30,"89,582,000","77,011,783","83,894,001","76,708,260","118,662,700","102,802,846"
Canadian Space Agency,Grants and contributions,35,"49,063,002","38,491,689","47,634,107","41,405,845","58,159,001","47,041,048"
Canadian Space Agency,Contributions to employee benefit plans,(S),"11,077,253","11,077,253","10,920,898","10,920,898","11,360,112","11,360,112"
Canadian Space Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"30,903","19,235","22,165","13,193","40,365","29,817"
Canadian Tourism Commission,Payments to the Canadian Tourism Commission,40,"105,101,804","105,101,803","109,464,753","108,564,688","82,033,976","82,033,975"
Canadian Transportation Accident Investigation and Safety Board,Program expenditures,10,"28,614,667","27,735,527","28,430,362","27,147,548","29,582,943","28,230,467"
Canadian Transportation Accident Investigation and Safety Board,Contributions to employee benefit plans,(S),"3,680,452","3,680,452","3,511,810","3,511,810","3,485,605","3,485,605"
Canadian Transportation Accident Investigation and Safety Board,Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act,(S),"13,880","13,880","28,569","28,569","35,700","35,700"
Canadian Transportation Accident Investigation and Safety Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"19,860","19,379","46,425","9,646","57,351","42,009"
